system,r_A,U,force_column
CO2,0.4012372401,65.77753434,26.22534945
CO2,0.4212741021,65.25206064,26.22534943
CO2,0.4413109641,64.72658693,26.22534942
CO2,0.4613478261,64.20111322,26.2253494
CO2,0.4813846881,63.67563952,26.22534939
CO2,0.5014215501,63.15016581,26.22534937
CO2,0.5214584121,62.6246921,26.22534923
CO2,0.5414952741,62.0992184,26.22534913
CO2,0.5615321361,61.5737447,26.2253491
CO2,0.5815689981,61.048271,26.22534915
CO2,0.6016058601,60.5227973,26.22534928
CO2,0.6216427221,59.99732359,26.22534946
CO2,0.6416795841,59.47184988,26.22534957
CO2,0.6617164461,58.94637617,26.22534959
CO2,0.6817533081,58.42090246,26.22534954
CO2,0.7017901701,57.89542875,26.2253494
CO2,0.7218270321,57.36995505,26.2253492
CO2,0.7418638941,56.84448134,26.2253491
CO2,0.7619007561,56.31900764,26.22534909
CO2,0.7819376181,55.79353394,26.22534917
CO2,0.8019744802,55.26806024,26.22534935
CO2,0.8220113422,54.74258653,26.22534946
CO2,0.8420482042,54.21711282,26.22534949
CO2,0.8620850662,53.69163911,26.22534952
CO2,0.8821219282,53.1661654,26.22534954
CO2,0.9021587902,52.64069169,26.22534954
CO2,0.9221956522,52.11521798,26.2253496
CO2,0.9422325142,51.58974427,26.22534965
CO2,0.9622693762,51.06427056,26.22534966
CO2,0.9823062382,50.53879685,26.22534962
CO2,1.0023431,50.01332314,26.22534953
CO2,1.022379962,49.48784943,26.22534917
CO2,1.042416824,48.96237573,26.22534883
CO2,1.062453686,48.43690204,26.22534871
CO2,1.082490548,47.91142835,26.22534882
CO2,1.10252741,47.38595465,26.22534914
CO2,1.122564272,46.86048094,26.22534938
CO2,1.142601134,46.33500723,26.22534943
CO2,1.162637996,45.80953353,26.22534944
CO2,1.182674858,45.28405982,26.22534942
CO2,1.20271172,44.75858611,26.22534937
CO2,1.222748582,44.23311241,26.22534931
CO2,1.242785444,43.7076387,26.22534928
CO2,1.262822306,43.182165,26.22534928
CO2,1.282859168,42.65669129,26.2253493
CO2,1.30289603,42.13121759,26.22534937
CO2,1.322932892,41.60574388,26.22534945
CO2,1.342969754,41.08027017,26.22534952
CO2,1.363006616,40.55479646,26.22534955
CO2,1.383043478,40.02932275,26.22534953
CO2,1.40308034,39.50384904,26.22534948
CO2,1.423117202,38.97837534,26.22534944
CO2,1.443154064,38.45290163,26.22534943
CO2,1.463190926,37.92742792,26.22534941
CO2,1.483227788,37.40195421,26.22534939
CO2,1.50326465,36.87648051,26.22534937
CO2,1.523301512,36.3510068,26.22534933
CO2,1.543338374,35.8255331,26.2253493
CO2,1.563375236,35.30005939,26.22534928
CO2,1.583412098,34.77458569,26.22534929
CO2,1.60344896,34.24911198,26.22534933
CO2,1.623485822,33.72363828,26.22534937
CO2,1.643522684,33.19816457,26.22534939
CO2,1.663559546,32.67269086,26.22534941
CO2,1.683596408,32.14721715,26.22534942
CO2,1.70363327,31.62174345,26.22534943
CO2,1.723670132,31.09626974,26.22534946
CO2,1.743706994,30.57079603,26.22534953
CO2,1.763743856,30.04532232,26.22534955
CO2,1.783780718,29.51984861,26.22534953
CO2,1.80381758,28.9943749,26.22534947
CO2,1.823854442,28.46890119,26.22534934
CO2,1.843891304,27.94342749,26.22534918
CO2,1.863928166,27.41795379,26.22534911
CO2,1.883965028,26.89248009,26.22534914
CO2,1.90400189,26.36700639,26.22534926
CO2,1.924038752,25.84153268,26.22534941
CO2,1.944075614,25.31605897,26.22534941
CO2,1.964112476,24.79058527,26.22534941
CO2,1.984149338,24.26511156,26.22534941
CO2,2.0041862,23.73963785,26.22534941
CO2,2.024223062,23.21416414,26.22534941
CO2,2.044259924,22.68869044,26.22534941
CO2,2.064296786,22.16321673,26.22534941
CO2,2.084333648,21.63774302,26.22534941
CO2,2.10437051,21.11226932,26.22534941
CO2,2.124407372,20.58679561,26.22534939
CO2,2.144444234,20.0613219,26.22534933
